"name","industry","size","country"
"center for human development (chd)","individual & family services","51-200","united states"
"nursecare of buckhead","hospital & health care","11-50","united states"
"stauff corporation","wholesale","11-50","united states"
"roto-rooter corp.","machinery","11-50","united states"
"linzi jay","wholesale","11-50","united states"
"appluent business solutions","computer software","11-50","united states"
"cyclone computers","education management","11-50","united states"
"prudential linn real estate","real estate","11-50","united states"
"all metals fabrication","mining & metals","11-50","united states"
"weichert insurance","insurance","11-50","united states"
"rainbow seafood","food production","11-50","united states"
"diamond comic distributors","consumer goods","201-500","united states"
"blu ampersand, inc","information services","11-50","united states"
"smb machinery","machinery","11-50","united states"
"mega networks pvt.ltd.","computer hardware","11-50","united states"
"science and engineering services, llc","airlines/aviation","501-1000","united states"
"king machine","automotive","11-50","united states"
"three living architecture","architecture & planning","11-50","united states"
"kprs","information technology and services","11-50","united states"
"art house co-op","arts and crafts","11-50","united states"
"priority one ems","hospital & health care","11-50","united states"
"viceroy palm jumeirah dubai","hospitality","51-200","united states"
"song + associates","architecture & planning","11-50","united states"
"watters international","real estate","11-50","united states"
"erg, inc.","staffing and recruiting","51-200","united states"
"gorilla nation media","online media","51-200","united states"
"lamont, hanley & associates","financial services","11-50","united states"
"meuth concrete","construction","11-50","united states"
"velvetech llc","information technology and services","11-50","united states"
"pro bake inc.","food production","11-50","united states"
"flodesign sonics","biotechnology","51-200","united states"
"medical student missions, inc.","philanthropy","11-50","united states"
"ldmi","marketing and advertising","11-50","united states"
"yost realty group at re/max casa grande","real estate","11-50","united states"
"one for all","marketing and advertising","11-50","united states"
"hoffman auto group","automotive","51-200","united states"
"coinspect","information technology and services","11-50","united states"
"hooters restaurants","facilities services","11-50","united states"
"academy mortgage corp.","banking","11-50","united states"
"providence & worcester railroad company","transportation/trucking/railroad","11-50","united states"
"first baptist church of highland park","religious institutions","11-50","united states"
"nc state college of veterinary medicine","veterinary","11-50","united states"
"pkf texas","accounting","201-500","united states"
"sieh, inc. dba united plumbing","construction","11-50","united states"
"national realty corporation","real estate","11-50","united states"
"collabrance, llc","information technology and services","11-50","united states"
"mills communications","telecommunications","11-50","united states"
"pacific coast jet","airlines/aviation","11-50","united states"
"jmu saferides","public safety","11-50","united states"
"klru-tv","broadcast media","51-200","united states"
"approved oil","oil & energy","51-200","united states"
"thinkmojo, inc.","media production","11-50","united states"
"community boating, inc.","recreational facilities and services","11-50","united states"
"central assembly of god","religious institutions","51-200","united states"
"sainta","individual & family services","201-500","united states"
"poppy's catering + events","food & beverages","11-50","united states"
"tristar finance, inc.","financial services","11-50","united states"
"las vegas billboards","marketing and advertising","11-50","united states"
"resolution media","marketing and advertising","11-50","united states"
"my home wholesale, inc.","retail","11-50","united states"
"pro-surve technical services","oil & energy","11-50","united states"
"care provider","hospital & health care","11-50","united states"
"world acceptance corporation (wrld)","financial services","51-200","united states"
"all weather architectural aluminum","building materials","11-50","united states"
"chemring energetic devices (technical ordnance, inc.)","defense & space","11-50","united states"
"on target solutions, llc","telecommunications","11-50","united states"
"west park hospital","hospital & health care","51-200","united states"
"world strides","leisure, travel & tourism","51-200","united states"
"mcdonnell group, inc.","marketing and advertising","11-50","united states"
"security self storage","warehousing","11-50","united states"
"ordermark","information technology and services","11-50","united states"
"elohi strategic advisors","food & beverages","11-50","united states"
"hopkins acura","telecommunications","11-50","united states"
